Date,Machine,Shift,Units_Produced,Defects,Downtime_Min,Yield
2025-05-01 00:00:00,M03,Day,100,2,25,98.0
2025-05-01 01:00:00,M04,Day,120,5,44,95.83333333333334
2025-05-01 02:00:00,M01,Day,97,7,4,92.78350515463917
2025-05-01 03:00:00,M03,Day,68,2,28,97.05882352941177
2025-05-01 04:00:00,M03,Night,55,2,53,96.36363636363636
2025-05-01 05:00:00,M04,Day,133,5,21,96.2406015037594
2025-05-01 06:00:00,M01,Day,102,7,48,93.13725490196079
2025-05-01 07:00:00,M01,Day,156,5,2,96.7948717948718
2025-05-01 08:00:00,M03,Night,150,9,27,94.0
2025-05-01 09:00:00,M02,Day,97,2,37,97.9381443298969
2025-05-01 10:00:00,M03,Day,184,3,13,98.36956521739131
2025-05-01 11:00:00,M03,Night,118,0,46,100.0
2025-05-01 12:00:00,M03,Night,60,7,13,88.33333333333333
2025-05-01 13:00:00,M03,Day,192,3,42,98.4375
2025-05-01 14:00:00,M04,Day,180,5,10,97.22222222222221
2025-05-01 15:00:00,M01,Day,171,2,8,98.83040935672514
2025-05-01 16:00:00,M04,Day,118,5,37,95.76271186440678
2025-05-01 17:00:00,M04,Day,72,8,46,88.88888888888889
2025-05-01 18:00:00,M04,Night,86,8,43,90.69767441860465
2025-05-01 19:00:00,M03,Night,58,9,5,84.48275862068965
2025-05-01 20:00:00,M02,Day,64,2,0,96.875
2025-05-01 21:00:00,M01,Day,180,2,24,98.88888888888889
2025-05-01 22:00:00,M02,Night,142,3,15,97.88732394366197
2025-05-01 23:00:00,M04,Day,66,6,51,90.9090909090909
2025-05-02 00:00:00,M04,Day,198,2,14,98.98989898989899
2025-05-02 01:00:00,M02,Day,121,9,33,92.56198347107438
2025-05-02 02:00:00,M02,Day,198,7,16,96.46464646464646
2025-05-02 03:00:00,M02,Day,170,7,2,95.88235294117648
2025-05-02 04:00:00,M04,Night,60,5,2,91.66666666666666
2025-05-02 05:00:00,M04,Day,121,3,36,97.52066115702479
2025-05-02 06:00:00,M01,Day,155,4,16,97.41935483870968
2025-05-02 07:00:00,M01,Day,174,1,54,99.42528735632183
2025-05-02 08:00:00,M04,Night,84,5,48,94.04761904761905
2025-05-02 09:00:00,M02,Night,168,2,51,98.80952380952381
2025-05-02 10:00:00,M02,Night,63,5,37,92.06349206349206
2025-05-02 11:00:00,M01,Night,63,4,0,93.65079365079364
2025-05-02 12:00:00,M04,Day,59,1,6,98.30508474576271
2025-05-02 13:00:00,M01,Night,189,4,25,97.88359788359789
2025-05-02 14:00:00,M01,Day,87,4,46,95.40229885057471
2025-05-02 15:00:00,M03,Day,157,8,38,94.90445859872611
2025-05-02 16:00:00,M03,Night,168,7,18,95.83333333333334
2025-05-02 17:00:00,M03,Night,83,6,51,92.7710843373494
2025-05-02 18:00:00,M02,Night,59,2,53,96.61016949152543
2025-05-02 19:00:00,M04,Night,171,9,29,94.73684210526315
2025-05-02 20:00:00,M04,Night,194,3,42,98.4536082474227
2025-05-02 21:00:00,M04,Day,194,5,54,97.42268041237114
2025-05-02 22:00:00,M04,Night,164,2,13,98.78048780487805
2025-05-02 23:00:00,M03,Night,50,8,12,84.0
2025-05-03 00:00:00,M02,Night,61,7,19,88.52459016393442
2025-05-03 01:00:00,M02,Day,152,5,25,96.71052631578947
2025-05-03 02:00:00,M03,Night,53,3,26,94.33962264150944
2025-05-03 03:00:00,M02,Day,190,6,24,96.84210526315789
2025-05-03 04:00:00,M03,Night,147,2,8,98.63945578231292
2025-05-03 05:00:00,M04,Night,155,9,40,94.19354838709677
2025-05-03 06:00:00,M03,Day,134,7,47,94.77611940298507
2025-05-03 07:00:00,M04,Night,170,0,11,100.0
2025-05-03 08:00:00,M04,Day,181,2,9,98.89502762430939
2025-05-03 09:00:00,M01,Day,131,4,5,96.94656488549617
2025-05-03 10:00:00,M03,Day,68,4,49,94.11764705882352
2025-05-03 11:00:00,M01,Night,179,9,33,94.97206703910615
2025-05-03 12:00:00,M03,Night,61,1,58,98.36065573770492
2025-05-03 13:00:00,M03,Night,130,9,51,93.07692307692308
2025-05-03 14:00:00,M01,Day,123,7,40,94.3089430894309
2025-05-03 15:00:00,M01,Night,147,4,18,97.27891156462584
2025-05-03 16:00:00,M03,Day,55,6,5,89.0909090909091
2025-05-03 17:00:00,M02,Night,185,6,1,96.75675675675676
2025-05-03 18:00:00,M04,Day,174,4,14,97.70114942528735
2025-05-03 19:00:00,M01,Day,100,7,16,93.0
2025-05-03 20:00:00,M04,Day,60,8,15,86.66666666666667
2025-05-03 21:00:00,M02,Night,176,3,27,98.29545454545455
2025-05-03 22:00:00,M02,Day,189,3,20,98.4126984126984
2025-05-03 23:00:00,M02,Day,122,7,7,94.26229508196722
2025-05-04 00:00:00,M01,Day,51,0,9,100.0
2025-05-04 01:00:00,M02,Day,57,3,9,94.73684210526315
2025-05-04 02:00:00,M01,Day,188,5,49,97.3404255319149
2025-05-04 03:00:00,M02,Day,173,3,9,98.26589595375722
2025-05-04 04:00:00,M04,Night,102,5,8,95.09803921568627
2025-05-04 05:00:00,M04,Night,59,4,27,93.22033898305084
2025-05-04 06:00:00,M03,Day,161,8,23,95.03105590062113
2025-05-04 07:00:00,M04,Night,57,9,18,84.21052631578947
2025-05-04 08:00:00,M03,Night,85,8,32,90.58823529411765
2025-05-04 09:00:00,M04,Day,155,3,3,98.06451612903226
2025-05-04 10:00:00,M01,Day,63,3,55,95.23809523809523
2025-05-04 11:00:00,M04,Day,135,7,2,94.81481481481482
2025-05-04 12:00:00,M03,Night,198,9,41,95.45454545454545
2025-05-04 13:00:00,M03,Day,99,3,11,96.96969696969697
2025-05-04 14:00:00,M02,Night,69,1,17,98.55072463768117
2025-05-04 15:00:00,M01,Day,136,1,22,99.26470588235294
2025-05-04 16:00:00,M04,Night,184,0,19,100.0
2025-05-04 17:00:00,M02,Day,186,4,5,97.84946236559139
2025-05-04 18:00:00,M04,Day,178,5,52,97.19101123595506
2025-05-04 19:00:00,M04,Night,87,8,33,90.80459770114942
2025-05-04 20:00:00,M02,Night,93,4,41,95.6989247311828
2025-05-04 21:00:00,M02,Night,135,5,1,96.29629629629629
2025-05-04 22:00:00,M02,Night,93,5,29,94.6236559139785
2025-05-04 23:00:00,M02,Night,123,2,8,98.3739837398374
2025-05-05 00:00:00,M02,Night,168,3,26,98.21428571428571
2025-05-05 01:00:00,M04,Day,171,0,41,100.0
2025-05-05 02:00:00,M02,Night,183,3,33,98.36065573770492
2025-05-05 03:00:00,M01,Day,194,0,39,100.0
2025-05-05 04:00:00,M03,Day,100,4,23,96.0
2025-05-05 05:00:00,M02,Night,87,7,48,91.95402298850574
2025-05-05 06:00:00,M02,Day,100,7,16,93.0
2025-05-05 07:00:00,M04,Night,59,4,28,93.22033898305084
2025-05-05 08:00:00,M02,Night,169,9,35,94.67455621301775
2025-05-05 09:00:00,M02,Day,198,1,49,99.4949494949495
2025-05-05 10:00:00,M02,Day,119,5,11,95.7983193277311
2025-05-05 11:00:00,M04,Night,134,0,30,100.0
2025-05-05 12:00:00,M02,Night,106,6,48,94.33962264150944
2025-05-05 13:00:00,M03,Day,175,3,8,98.28571428571429
2025-05-05 14:00:00,M04,Day,88,4,18,95.45454545454545
2025-05-05 15:00:00,M03,Day,82,5,45,93.90243902439023
2025-05-05 16:00:00,M04,Day,67,0,45,100.0
2025-05-05 17:00:00,M02,Night,106,8,16,92.45283018867924
2025-05-05 18:00:00,M03,Night,145,9,1,93.79310344827586
2025-05-05 19:00:00,M04,Night,97,3,39,96.90721649484536
2025-05-05 20:00:00,M01,Night,91,7,4,92.3076923076923
2025-05-05 21:00:00,M02,Day,76,4,58,94.73684210526315
2025-05-05 22:00:00,M04,Day,123,7,38,94.3089430894309
2025-05-05 23:00:00,M01,Night,159,0,53,100.0
2025-05-06 00:00:00,M04,Night,81,7,47,91.35802469135803
2025-05-06 01:00:00,M01,Night,75,3,15,96.0
2025-05-06 02:00:00,M02,Night,74,1,16,98.64864864864865
2025-05-06 03:00:00,M03,Night,124,5,53,95.96774193548387
